127.0.0.1 - - [28/May/2021:10:23:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2021:10:23:38 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:24:09 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:10:24:09 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:24:10 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:24:19 +0530] "POST /Customer/log HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:03 +0530] "POST /Customer/log HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:03 +0530] "GET /Customer/style.css HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:03 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:23 +0530] "POST /Customer/log HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:23 +0530] "GET /Customer/style.css HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [28/May/2021:10:25:23 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:14 +0530] "POST /Customer/log HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:14 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:14 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:30 +0530] "POST /Customer/log HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:30 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:26:30 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:04 +0530] "POST /Customer/log HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:04 +0530] "GET /Customer/style.css HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:04 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:24 +0530] "POST /Customer/log HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:24 +0530] "GET /Customer/style.css HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:24 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:54 +0530] "POST /Customer/log HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:54 +0530] "GET /Customer/style.css HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [28/May/2021:10:27:54 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:33:21 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:33:21 +0530] "GET /Customer/style.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [28/May/2021:10:33:21 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:34:05 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:34:05 +0530] "GET /Customer/style.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [28/May/2021:10:34:05 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:36:23 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:36:23 +0530] "GET /Customer/style.css HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [28/May/2021:10:36:23 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:38:21 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:38:21 +0530] "GET /Customer/style.css HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [28/May/2021:10:38:21 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:27 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:27 +0530] "GET /Customer/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:27 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:47 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:47 +0530] "GET /Customer/style.css HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [28/May/2021:10:39:47 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:23 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:23 +0530] "GET /Customer/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:23 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:41 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:41 +0530] "GET /Customer/style.css HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [28/May/2021:10:40:41 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:18 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:18 +0530] "GET /Customer/style.css HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:18 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:58 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:58 +0530] "GET /Customer/style.css HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [28/May/2021:10:41:58 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:09 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:09 +0530] "GET /Customer/style.css HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:09 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:32 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:32 +0530] "GET /Customer/style.css HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:32 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:45 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:45 +0530] "GET /Customer/style.css HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [28/May/2021:10:42:45 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
